src_id,dst_id
0,152
1,291
2,152
3,40
4,96
4,128
5,18
5,19
5,40
5,152
5,51
6,19
6,40
7,2
7,36
7,116
7,18
7,25
7,43
7,58
8,116
8,18
9,2661
9,2961
9,1992
9,3903
9,995
9,112
9,839
9,4716
9,891
9,4717
9,4718
9,4107
9,2182
9,4536
9,1843
9,4719
9,4720
9,4721
9,4722
9,2644
9,4723
9,4724
9,878
9,2067
9,4725
9,4726
9,4727
9,1254
9,1421
9,4728
9,4729
9,4730
9,1301
9,3672
9,1172
9,4731
9,1132
9,4732
10,58
10,108
10,19
11,223
11,7
12,51
13,132
13,96
14,18
15,18
16,18
17,19
17,40
18,8
19,96
20,1423
21,152
22,112
23,132
24,96
25,7
26,19
27,19
27,7
28,11
28,96
28,1421
28,132
29,79
30,4
31,4733
31,540
32,40
32,19
33,291
34,291
35,18
36,18
37,15
37,108
38,58
38,1136
38,4734
38,108
38,4735
38,4736
38,4737
38,3982
39,7
40,4738
40,4739
40,1259
41,565
41,4740
41,2626
41,3234
41,4741
41,4742
41,4743
41,4744
41,4745
41,4746
41,4747
41,4748
41,4749
41,4739
41,816
41,4750
41,4751
41,4752
41,4753
41,1259
41,4754
41,40
41,860
41,174
41,4755
41,290
41,4756
41,4757
41,595
41,2621
41,4758
41,3705
41,893
41,4759
41,4760
41,3529
41,4761
41,1421
41,4762
41,2977
41,648
41,4763
41,4764
41,1795
41,4765
41,2675
41,4766
41,4767
41,4768
41,1280
41,4579
41,19
41,4769
41,3638
41,4770
41,4771
41,4772
41,4773
41,1119
41,152
41,2050
41,4774
41,4775
41,4776
41,4777
41,4778
41,4779
41,4780
41,4781
41,4782
41,4783
41,4447
41,4784
41,420
41,4785
41,4786
41,4787
41,4788
41,1213
41,387
41,4789
41,529
41,108
41,2661
41,1072
41,988
41,2844
41,4726
41,96
41,4790
41,4791
41,4792
41,3406
41,954
41,4793
41,4794
42,75
43,75
44,96
45,4738
45,1477
45,4744
45,1959
45,19
45,2626
45,1259
45,40
45,3512
45,2618
45,1057
45,4795
45,4796
45,4797
45,4798
45,4799
45,3707
45,4800
45,4801
45,1436
45,4802
45,4803
45,4804
45,4805
45,4806
45,4807
45,4808
45,4809
45,1926
45,4810
45,4811
45,4812
45,4813
45,4814
45,4006
45,4815
45,2226
45,4225
45,4816
45,4817
45,144
45,4818
45,2326
45,4819
45,4820
45,4821
45,1906
45,339
45,4822
45,4823
45,4824
45,4825
45,4826
45,4827
45,1301
45,4828
45,830
45,290
45,4
45,540
45,4588
45,132
45,4726
45,96
45,223
45,7
45,4829
45,4830
45,539
45,4793
45,4746
45,275
45,1006
45,3713
45,2512
45,4831
46,19
46,40
47,291
48,40
48,4
48,540
48,19
49,19
49,40
49,58
49,108
49,23
50,40
51,4716
52,51
53,58
53,108
53,19
53,40
53,15
54,108
54,40
55,96
56,19
56,40
57,19
58,19
58,40
59,40
