src_id,dst_id
4247,5
896,60
4310,60
5300,60
30,60
4350,60
4247,61
4247,62
4247,63
4247,64
5301,9
4384,9
4377,9
4694,9
5302,9
4254,9
4310,9
4271,9
4650,9
4443,9
454,9
5300,9
5303,9
4635,9
5304,9
218,9
4345,9
4483,9
5305,9
4351,9
4930,9
2869,9
5306,9
4847,9
5307,9
5308,9
5309,9
5310,9
4533,9
4350,9
2798,9
5311,9
1512,9
5312,9
4339,9
4979,9
4718,9
5313,9
5314,9
896,9
4521,9
970,9
4534,9
4560,9
4276,9
4461,9
4247,65
896,31
5315,31
5302,31
695,31
4278,31
454,31
4247,66
4247,67
4247,37
4635,38
896,38
5233,38
4351,38
5316,38
4483,38
4301,40
4675,40
4262,40
5317,40
4345,40
896,40
5233,40
4794,40
963,40
527,40
1291,40
4384,40
5318,40
4696,40
4350,40
5108,40
4635,40
4483,40
4408,40
4505,40
4310,40
4377,40
5319,40
720,40
4463,40
5320,40
4345,41
4483,41
4254,41
5321,41
4506,41
4311,41
896,41
5233,41
527,41
720,41
4377,41
4794,41
4650,41
4247,41
5322,41
4312,41
4635,41
5304,41
5317,41
4310,41
218,41
5104,41
4262,41
4378,41
4332,41
4384,41
4820,41
5323,41
5324,41
1512,41
4301,41
4979,41
5325,41
4656,41
4657,41
963,41
1291,41
154,41
667,41
1191,41
4344,41
4204,41
4350,41
5108,41
4422,41
5326,41
5327,41
4408,41
5302,41
4675,41
5319,41
4696,41
4534,41
5328,41
684,41
4677,41
5041,41
4463,41
5320,41
4307,41
5315,41
4510,41
4426,41
5329,41
4564,41
4351,41
168,41
4345,45
5327,45
5330,45
5331,45
4647,45
5332,45
5333,45
4246,45
720,45
4650,45
5334,45
4750,45
4656,45
4657,45
4847,45
602,45
4377,45
30,45
4635,45
5304,45
5317,45
3075,45
4643,45
4644,45
4794,45
4332,45
4310,45
4680,45
5335,45
2798,45
5336,45
896,45
4979,45
4930,45
8,45
4301,45
3939,45
698,45
4514,45
5337,45
218,45
4384,45
4700,45
5338,45
4204,45
5303,45
5339,45
5340,45
896,51
4635,51
4262,51
5326,51
3325,51
5090,51
4311,51
4834,51
4843,51
1186,51
4247,53
4247,56
